minute_utc,entity_id,recorded_changes,min_w,avg_recorded_w,max_w,last_w
2026-08-12T08:15:00Z,sensor.furnace_power_total,4,277.81,278.055,278.43,277.91
2026-08-12T08:16:00Z,sensor.ac_power_total,8,1999.16,1999.562,1999.91,1999.16
2026-08-12T08:16:00Z,sensor.furnace_power_total,4,277.65,278.027,278.5,278.5
2026-08-12T08:17:00Z,sensor.ac_power_total,8,2000.28,2003.995,2007.81,2007.81
2026-08-12T08:17:00Z,sensor.furnace_power_total,4,277.21,278.035,278.67,277.95
2026-08-12T08:18:00Z,sensor.ac_power_total,8,2006.12,2007.049,2007.96,2007.96
2026-08-12T08:18:00Z,sensor.furnace_power_total,4,277.69,277.967,278.3,278.03
2026-08-12T08:19:00Z,sensor.ac_power_total,8,2008.29,2009.564,2010.11,2009.62
2026-08-12T08:19:00Z,sensor.furnace_power_total,4,277.45,278.217,278.61,278.46
2026-08-12T08:20:00Z,sensor.ac_power_total,8,2002.71,2006.954,2009.24,2002.71
2026-08-12T08:20:00Z,sensor.furnace_power_total,4,277.66,278.245,278.57,278.4
2026-08-12T08:21:00Z,sensor.ac_power_total,8,2000.26,2000.936,2001.96,2000.26
2026-08-12T08:21:00Z,sensor.furnace_power_total,4,278.31,278.54,278.87,278.33
2026-08-12T08:22:00Z,sensor.ac_power_total,8,1996.79,1998.355,1999.66,1996.79
2026-08-12T08:22:00Z,sensor.furnace_power_total,4,278.18,278.275,278.44,278.44
2026-08-12T08:23:00Z,sensor.ac_power_total,8,1991.13,1994.888,1997.72,1991.13
2026-08-12T08:23:00Z,sensor.furnace_power_total,4,278.47,278.64,278.75,278.67
2026-08-12T08:24:00Z,sensor.ac_power_total,8,1988.49,1989.071,1990.12,1988.49
2026-08-12T08:24:00Z,sensor.furnace_power_total,4,278.31,278.645,278.84,278.31
2026-08-12T08:25:00Z,sensor.ac_power_total,8,1984.87,1987.715,1989.0,1984.87
2026-08-12T08:25:00Z,sensor.furnace_power_total,4,278.08,278.335,278.56,278.56
2026-08-12T08:26:00Z,sensor.ac_power_total,8,1983.4,1983.789,1984.57,1983.47
2026-08-12T08:26:00Z,sensor.furnace_power_total,4,277.78,278.363,278.75,278.75
2026-08-12T08:27:00Z,sensor.ac_power_total,8,1984.32,1988.977,1994.02,1994.02
2026-08-12T08:27:00Z,sensor.furnace_power_total,4,277.78,278.358,278.93,278.93
